"Origin_State"	"Dest_State"	"AllQueries"	"HousingQuery"	"HousingRent"	"HousingBuy"	"HousingApartment"	"HousingCondo"	"HousingDuplex"	"HousingTownhouse"	"HousingHouse"	"HousingHome"	"JobQuery"	"JobArchitectureEngineering"	"JobArt"	"JobBusiness"	"JobConstruction"	"JobEducation"	"JobFinance"	"JobFood"	"JobHealthcare"	"JobLeisureHospitality"	"JobManufacturing"	"JobRetail"	"JobScience"	"JobTechnology"	"JobTransportation"
"Maryland"	"Michigan"	15323	12600	4388	4781	3235	1152	49	279	1329	6556	2723	14	23	50	12	103	80	42	287	22	15	9	17	13	43
"Alabama"	"South Carolina"	15319	12344	4328	5434	2158	2459	6	302	1127	6292	2975	15	9	145	26	131	26	2	157	8	15	26	7	16	32
"Georgia"	"Massachusetts"	15282	12741	3510	5561	2659	1214	7	148	1213	7500	2541	10	31	78	10	114	34	10	707	14	14	8	20	13	56
"Georgia"	"Missouri"	15267	12971	3575	6473	2365	3200	45	215	873	6273	2296	23	11	38	7	92	34	3	230	8	6	10	10	28	56
"Washington"	"Georgia"	15256	12741	4870	4256	3575	599	36	293	967	7271	2515	18	17	63	6	54	155	9	149	25	34	5	9	25	98
"Washington"	"North Carolina"	15133	12904	3698	4678	2316	571	86	324	1078	8529	2229	12	15	19	14	75	20	4	131	17	14	5	19	14	35
"North Carolina"	"Kentucky"	15108	12424	4296	4989	2668	479	43	216	2200	6818	2684	8	26	42	18	85	52	15	195	15	60	21	5	2	68
"Maryland"	"Arizona"	15049	12588	4661	4987	3295	904	11	138	1146	7094	2461	7	2	62	16	349	27	17	189	15	10	22	4	11	54
"Massachusetts"	"Arizona"	15047	13398	4518	4420	3378	1265	35	134	964	7622	1649	9	11	28	18	120	20	4	106	9	2	1	6	11	45
"Louisiana"	"Arkansas"	15013	12499	2987	4741	1583	777	14	41	2033	8051	2514	13	1	37	28	72	21	2	173	26	22	8	0	9	45
"Virginia"	"Michigan"	14971	12639	4397	4086	3050	792	27	255	1339	7176	2332	7	19	135	10	85	25	11	210	12	24	13	7	16	33
"North Carolina"	"New Jersey"	14955	13268	4638	5127	3325	962	15	470	1228	7268	1687	4	3	39	14	96	21	7	79	15	9	14	3	8	41
"Tennessee"	"Pennsylvania"	14926	11065	4284	4292	2722	351	17	236	1654	6085	3861	9	9	83	4	164	49	33	592	15	16	6	9	60	163
"Missouri"	"New York"	14897	11477	5630	2433	5193	640	59	92	743	4750	3420	8	46	64	18	456	166	20	182	36	20	14	22	10	30
"Maryland"	"Illinois"	14838	12079	5011	4336	3710	918	54	665	1087	5645	2759	12	31	71	26	179	80	9	203	24	37	17	19	11	99
"California"	"District of Columbia"	14780	9789	3667	2916	3328	745	12	102	1267	4335	4991	20	60	162	30	282	59	12	181	36	6	20	47	29	21
"Florida"	"Mississippi"	14766	12414	4475	4770	2521	781	24	121	1423	7544	2352	5	3	26	20	50	16	5	297	104	23	31	4	3	67
"Rhode Island"	"Connecticut"	14742	12092	2936	5339	2074	1387	13	86	1880	6652	2650	4	4	40	307	131	468	6	215	9	9	32	2	2	14
"Virginia"	"Indiana"	14672	11965	5207	4175	3680	432	28	647	1287	5891	2707	16	9	48	22	146	31	36	185	13	27	12	8	32	95
"Maryland"	"Alabama"	14651	12004	4578	5114	2833	1099	16	284	1680	6092	2647	25	27	49	29	87	58	9	448	22	0	11	7	7	26
"Indiana"	"New York"	14621	11156	5846	2948	5245	663	29	117	813	4289	3465	13	55	69	12	540	93	7	179	34	11	18	17	25	31
"Ohio"	"Missouri"	14574	12342	3538	6353	2459	4115	71	272	1018	4407	2232	8	20	52	19	125	44	4	180	14	31	6	14	16	29
"South Carolina"	"Pennsylvania"	14554	12513	3523	5808	2345	1298	12	258	1193	7407	2041	4	12	28	17	111	42	29	130	13	14	3	6	2	39
"Missouri"	"South Carolina"	14485	12546	4095	5145	1955	2666	26	173	1073	6653	1939	10	5	46	23	53	53	10	156	10	18	6	16	16	44
"New Mexico"	"Florida"	14437	12754	3119	5656	1640	2442	92	158	800	7622	1683	7	20	24	19	72	27	15	185	37	8	21	6	9	22
"Nevada"	"Idaho"	14416	12327	2125	3805	1149	263	36	77	743	10059	2089	4	5	11	18	35	6	2	597	20	34	1	3	5	46
"Washington"	"Alaska"	14394	11114	2397	3576	1402	263	61	24	717	8647	3280	11	7	23	27	59	16	14	171	40	17	7	17	11	50
"Idaho"	"Arizona"	14336	13172	3070	5184	1739	771	16	119	498	10029	1164	10	1	11	14	96	21	1	90	12	10	18	1	0	14
"Hawaii"	"Nevada"	14314	11790	3951	5019	2837	1262	11	275	721	6684	2524	16	23	23	17	30	25	19	115	180	12	9	2	1	97
"Arizona"	"Tennessee"	14304	12121	4144	4481	2679	467	58	180	1184	7553	2183	12	42	43	17	80	25	26	199	8	9	2	2	8	66
"Virginia"	"Kentucky"	14279	11145	3765	4022	2543	266	49	168	1550	6569	3134	8	8	131	23	66	23	14	268	12	13	21	4	8	72
"North Dakota"	"South Dakota"	14266	12384	1672	4481	1066	188	14	120	796	10200	1882	7	6	23	27	43	21	5	116	6	11	5	3	10	27
"Ohio"	"Nevada"	14255	11399	4706	4024	2996	1643	9	114	739	5898	2856	17	38	46	38	72	39	45	230	117	31	6	11	15	148
"Connecticut"	"New Hampshire"	14156	12969	2693	4638	1754	1254	45	97	1252	8567	1187	3	11	15	13	80	13	7	77	6	5	10	8	8	10
"Illinois"	"New Jersey"	14130	12766	3754	5096	2806	1016	29	607	824	7484	1364	3	5	18	7	110	19	17	66	21	0	6	1	1	30
"Colorado"	"Louisiana"	14107	10984	3250	4616	1959	509	25	171	1413	6907	3123	14	19	64	28	64	40	12	313	45	32	17	23	91	87
"North Carolina"	"Indiana"	14087	11542	4430	4467	3097	349	21	95	1396	6584	2545	18	8	27	11	121	18	23	218	10	22	11	8	8	56
"Washington"	"Utah"	14079	12379	3585	5054	2576	1091	27	289	656	7740	1700	15	8	34	12	72	19	3	124	28	17	2	13	12	62
"Connecticut"	"Pennsylvania"	14063	11671	4118	3689	3084	526	13	201	1315	6532	2392	21	37	43	14	142	55	11	183	14	19	15	12	5	59
"Wisconsin"	"Tennessee"	14010	11508	3849	4960	2492	1081	49	168	986	6732	2502	11	38	95	11	79	47	11	284	18	51	13	4	6	44
"New York"	"Indiana"	13968	11044	5531	3182	4386	680	21	220	1113	4624	2924	16	7	69	23	158	47	37	253	20	43	13	10	9	78
"North Carolina"	"Massachusetts"	13920	11628	3995	4599	3120	871	35	253	1148	6201	2292	7	40	69	9	109	33	13	253	17	8	9	21	12	11
"Florida"	"New Hampshire"	13889	13083	2475	6023	1665	1728	25	98	921	8646	806	3	4	9	8	42	5	3	54	9	5	5	0	3	13
"Tennessee"	"Washington"	13885	10914	5205	2618	3801	611	57	217	895	5333	2971	12	19	56	8	66	20	8	316	16	8	8	12	12	49
"Michigan"	"Kentucky"	13786	11675	4605	4049	2876	761	34	172	1209	6623	2111	10	4	30	10	52	36	3	168	8	42	26	3	16	71
"Georgia"	"Indiana"	13733	10543	4928	3708	3629	361	46	183	1250	5074	3190	10	20	45	38	153	38	21	239	13	31	19	12	16	222
